id,event_id,text,success_rate,success_effects,fail_effects,requirements
choice_001,evt_001,诚恳道歉并全额退款,1.0,cash-100|reputation+5|stress+5,,
choice_002,evt_001,坚持原则据理力争,0.6,reputation+3,reputation-10|stress+10,
choice_003,evt_002,立即找人维修,0.8,cash-2000,cash-5000|stress+5,cash>2000
choice_004,evt_002,自己尝试修理,0.4,stress+5,cash-3000|health-5,
choice_005,evt_003,接受涨租,1.0,cash-500|stress+3,,
choice_006,evt_003,与房东谈判,0.5,cash-200,cash-800|stress+10,reputation>30
choice_007,evt_004,批准请假,1.0,stress+5,,
choice_008,evt_004,拒绝请假,0.3,stress-5,reputation-5|stress+15,
choice_009,evt_005,卖掉这些物品,1.0,cash+3000,,
choice_010,evt_005,留作纪念,1.0,stress-5,,
choice_011,evt_006,借给朋友,0.7,reputation+10|cash-5000,cash-5000|reputation-5,cash>5000
choice_012,evt_006,婉言拒绝,1.0,stress+5|reputation-3,,
choice_013,evt_007,去医院检查,1.0,cash-1000|health+10|stress-5|advance_weeks+3,,cash>1000
choice_014,evt_007,先忍一忍,0.5,cash+0,health-15|stress+10,
choice_015,evt_008,接受合作,0.6,cash+20000|reputation+10,cash-10000|stress+20,cash>10000
choice_016,evt_008,谨慎拒绝,1.0,stress+3,,
choice_017,evt_009,接受采访,0.8,reputation+15|stress+5,reputation-5,
choice_018,evt_009,低调拒绝,1.0,stress-3,,
choice_019,evt_010,举办大型促销,0.7,cash+10000|stress+10,cash-5000|stress+15,cash>5000
choice_020,evt_010,保持正常营业,1.0,cash+2000,,
choice_021,evt_003,向银行申请贷款周转,1.0,loan+50000@0.12@52|stress+3,,











