event_id,choice_id,choice_text,delta_cash,delta_stress,delta_health,delta_reputation,delta_morale,delta_rating,adds_flags,removes_flags,followup_event_id,mbti_bonus,success_rate,notes
E001,A,当场续签，稳住阵脚,-15000,5,0,0,0,0,lease_signed,lease_uncertain,,,,提前锁定租金
E001,B,硬扛不签，回去再谈,0,10,0,0,-5,0,lease_uncertain,lease_signed,E001_B1,,0.6,有后续风险
E002,A,参加满减，冲一波单量,8000,5,-2,-5,-3,-0.2,platform_promo,,,,0.7,短期有效但伤品牌
E002,B,不参加，守住毛利和口碑,-3000,3,0,5,0,0.1,steady_ops,platform_promo,,,,"长期健康，短期痛"
E003,A,加薪留人，稳住团队,-8000,-5,0,0,15,0,staff_stable,overworked,,,,"多花钱，买稳定"
E003,B,画饼拖延，先顶过这周,0,8,-3,-5,-20,0,overworked,staff_stable,E003_B1,,0.4,可能员工真走
E004,A,精简菜单，砍掉尾部SKU,-2000,-3,0,-3,5,0.2,menu_simple,menu_complex,,,,"效率提升，部分顾客不满"
E004,B,继续全做，满足所有人,0,5,-2,3,-3,-0.1,menu_complex,menu_simple,,,,累但顾客选择多
E005,A,配合检查，当场补齐台账,-3000,5,0,5,0,0,compliance_good,compliance_loose,,S,0.9,S型更容易通过
E005,B,先糊弄过去，赌他不细看,0,3,0,-10,0,-0.3,compliance_loose,compliance_good,E005_B1,,0.3,高风险
E006,A,囤一波原料，锁住成本,-20000,3,0,0,0,0,inventory_high,,,,,资金压力大
E006,B,换配方降成本,5000,5,0,-8,0,-0.2,recipe_changed,,,,,影响口碑
E007,A,让博主来探店,-3000,3,0,10,0,0.3,influencer_done,,E007_A1,E,0.7,E型效果更好
E007,B,婉拒：不做投喂营销,0,0,0,0,0,0,steady_ops,influencer_done,,,,保持低调
E008,A,道歉+退款+整改公示,-8000,5,0,8,-5,0.2,crisis_handled,crisis_ongoing,,E,,主动认错
E008,B,硬刚：这是同行恶意差评,0,10,-5,-15,-10,-0.5,crisis_ongoing,crisis_handled,E008_B1,,0.2,可能升级
E009,A,贷款扩张，开第二家店,-50000,15,-5,10,0,0,expanding,,,T,0.6,高风险高回报
E009,B,稳扎稳打，先把一家店做好,0,-5,0,0,5,0,steady_growth,expanding,,,,稳健选择
E010,A,去相亲，说不定有缘分,-500,0,0,5,0,0,dating_attempt,,,F,0.5,F型更容易成功
E010,B,太忙了，下次吧,0,3,0,-3,0,0,workaholic,dating_attempt,,,,错过机会
E011,A,结婚！人生大事,-80000,-10,5,15,0,0,married,single,,,,"花钱但幸福，压力减少"
E011,B,再等等，事业为重,0,5,-3,-10,0,0,dating,married,,,,可能影响关系
E012,A,私立学校，给孩子最好的,-50000,5,0,10,0,0,private_school,,,,,长期支出增加
E012,B,公立学校，省钱务实,0,0,0,-5,0,0,public_school,private_school,,,,经济实惠
E013,A,降价应战，打价格战,-10000,10,-5,-5,-5,-0.2,price_war,,,,,两败俱伤
E013,B,提升品质，差异化竞争,-15000,5,0,10,5,0.3,quality_focus,price_war,,,N,N型更容易找到差异点
E014,A,入驻商场，扩大规模,-100000,15,-5,15,0,0,mall_shop,,,,,高投入高风险
E014,B,暂时观望，等更好机会,0,0,0,0,0,0,cautious,mall_shop,,,,保守但安全
E015,A,加薪挽留，给股份,-30000,-5,0,5,20,0,manager_retained,manager_lost,,F,,F型更擅长留人
E015,B,祝他成功，好聚好散,0,10,0,10,-10,0,manager_lost,manager_retained,,,,失去店长但保持关系
E016,A,按要求装修，保住加盟资格,-60000,10,0,5,0,0.2,renovated,,,,,被迫支出
E016,B,申请延期，争取缓冲,0,5,0,0,0,0,delay_request,renovated,E016_B1,,0.4,可能被取消资格
E017,A,引入机器人，提升效率,-50000,5,0,5,0,0.1,tech_upgraded,,,T,,T型更容易用好
E017,B,先观望，技术还不成熟,0,0,0,0,0,0,traditional,tech_upgraded,,,,保守选择
E018,A,借钱帮他，人情重要,-50000,3,0,15,0,0,helped_customer,,,F,0.3,可能要不回来
E018,B,婉拒，生意归生意,0,5,0,-10,0,0,refused_help,helped_customer,,,,保护自己
E019,A,听医生的，休息一个月,0,-30,20,-5,-10,0,resting,,,,,健康恢复但业务受影响
E019,B,硬撑，店不能没人,0,10,-15,0,0,0,overwork,resting,E019_B1,,,健康风险
E020,A,开始培养孩子接班,0,-10,0,10,0,0,heir_training,,,,,为继承做准备
E020,B,让他先去外面历练,0,0,0,5,0,0,heir_external,heir_training,,,,可能影响继承意愿
