event_id,category,title,desc,week_min,week_max,weight,shop_type,operation_mode,required_flags,excluded_flags,cash_min,cash_max,stress_min,stress_max,season,mbti_advantage,notes
E001,rent,房东来电：续约还是搬？,房东说隔壁刚涨价，你要是今天不签，明天就给别人。,1,999,10,,,,,0,999999,0,100,,,早期现金流压力卡
E002,platform,外卖平台：要不要上满减？,平台小哥说参加活动给流量，但你毛利会被打穿。,4,999,12,,,,,0,999999,0,100,,,长期高频事件
E003,staff,后厨要涨薪：不涨就走,后厨说周末高峰马上到，不涨薪就集体辞职。,8,999,8,,,has_chef,,0,999999,0,100,,,员工管理
E004,ops,菜单太复杂：要不要精简？,你发现出餐慢、错单多，问题可能是菜单太杂。,12,999,6,,,,,0,999999,0,100,,,效率优化
E005,compliance,食药监抽查：证照齐吗？,临时抽查来了，你的台账和标签都做全了吗？,8,999,5,,,,,0,999999,0,100,,S,合规检查
E006,supply,原料涨价：囤货还是换配方？,核心原料突然涨价，你要硬扛成本还是改配方？,4,999,7,,,,,0,999999,0,100,,,供应链
E007,marketing,探店博主私信：免费吃+分成,一个本地探店号想来拍，开价是免单+成交分成。,12,999,5,,,,,50000,999999,0,100,,E,营销决策
E008,crisis,差评爆发：你被挂在同城群里,连续差评涌入，说你出餐慢、态度差，还有异物照片。,16,999,4,,,,,0,999999,0,100,,E,舆情危机
E009,finance,银行来电：要不要贷款扩张？,银行客户经理说可以给你低息贷款，要不要考虑开第二家店？,26,999,4,,,,,100000,999999,0,60,,T,扩张决策
E010,life,相亲局：去还是不去？,朋友介绍了个对象，今晚有空吗？,1,999,6,,,single,,0,999999,0,80,,F,生活事件
E011,life,女朋友/男朋友：我们结婚吧,恋爱一年了，对方提出想结婚。,52,999,5,,,dating,,50000,999999,0,70,,F,人生大事
E012,life,孩子要上学了：选什么学校？,孩子到了入学年龄，公立还是私立？,78,999,4,,,has_children,,100000,999999,0,100,,,教育支出
E013,competitor,隔壁开了同类店：正面硬刚？,一家新店开在你旁边，装修比你好，价格比你低。,20,999,6,,,,,0,999999,0,100,,,竞争压力
E014,opportunity,商场招商：要不要进驻？,商场空出一个好位置，邀请你入驻，租金不便宜。,30,999,4,,,,,150000,999999,0,50,,N,扩张机会
E015,staff,店长提离职：挽留还是放手？,跟了你两年的店长说要自己创业。,40,999,5,,,has_manager,,0,999999,0,100,,F,核心员工
E016,franchise,总部新政策：强制换装修,加盟总部通知全国门店必须按新标准重新装修。,20,999,4,,franchise,,,0,999999,0,100,,,加盟限制
E017,tech,外卖机器人：要不要用？,有人推销外卖出餐机器人，说能省人工。,50,999,3,,,,,80000,999999,0,60,,T,技术升级
E018,social,老顾客借钱：借还是不借？,常来的熟客说生意出了问题，想借5万周转。,30,999,4,,,,,60000,999999,0,100,,F,人情世故
E019,health,体检报告：需要休息,医生说你压力太大，建议休息一个月。,20,999,5,,,,,0,999999,70,100,,,健康警告
E020,inheritance,孩子说：我想接班,你的孩子表示对餐饮有兴趣，想跟你学。,260,999,5,,,has_children,,0,999999,0,100,,,继承铺垫
